Title,Authors,KW,MH,DU,OD,Abstract,Journal,Published Year
Dose-Response in Modulating Brain Function with Transcranial Direct Current Stimulation: From Local to Network Levels.,"Soleimani G.

Kupliki R.

Paulus M.

Ekhtiari H.","Addiction

Computational Head Model

Dose-Response

fMRI

Individualized

Methamphetamine

Precision Medicine

Transcranial Direct Current Stimulation (tDCS)","*addiction

adult

anode electrode

brain depth stimulation

*brain function

cathode electrode

controlled study

default mode network

*dose response

effect size

electric field

extraction

*functional magnetic resonance imaging

human

human experiment

major clinical study

nerve potential

*personalized medicine

pipeline

randomized controlled trial

resting state network

T2 weighted imaging

*transcranial direct current stimulation

treatment response

biological marker

*methamphetamine","biological marker [m]

*methamphetamine [m]","*addiction [m]

adult [m]

anode electrode [m]

brain depth stimulation [m]

*brain function [m]

cathode electrode [m]

controlled study [m]

default mode network [m]

*dose response [m]

effect size [m]

electric field [m]

extraction [m]

*functional magnetic resonance imaging [m]

human [m]

human experiment [m]

major clinical study [m]

nerve potential [m]

*personalized medicine [m]

pipeline [m]

randomized controlled trial [m]

resting state network [m]

T2 weighted imaging [m]

*transcranial direct current stimulation [m]

treatment response [m]","Background: Non-invasive brain stimulation methods for modulating brain activity via transcranial technologies like transcranial direct current stimulation (tDCS) are increasingly prevalent to investigate the relationship between modulated brain regions and stimulation outcomes. However, the interindividual variability of tDCS has made it challenging to detect intervention effects at the group level. Collecting multiple modalities of magnetic resonance imaging data (i.e., structural and functional MRI) helps to investigate how dose-response ultimately shapes brain function in response to tDCS. Method(s): We collected data in a randomized, triple-blind, sham-controlled trial with two parallel arms. Sixty participants with MUD were randomly assigned to sham or active tDCS (n=30 per group, 2 mA, 20 minutes, anode/cathode over F4/Fp1). Structural and functional MRI (including high-resolution T1 and T2-weighted MRI, resting-state fMRI, and methamphetamine cue-reactivity task with meth versus neutral cues) were collected immediately before and after tDCS. T1 and T2-weighted MRI data were used to generate head models for each individual to simulate electric fields. Associations between electric fields (dose) and changes in brain function (response) were investigated at four different levels: (1) voxel level, (2) regional level (atlas-based parcellation), (3) cluster level (active clusters in the contrast of interest), and (4) network level (both task-based and resting-state networks). Result(s): At the (1) voxel-level, (2) regional level, and (3) cluster level, our results showed no significant correlation between changes in the functional activity and electric fields. However, (4) at the network level, a significant negative correlation was found between the electric field and ReHo in the default mode network (r=-0.46 (medium effect size), p corrected=0.018). For the network-level analysis of task-based fMRI data, frontoparietal connectivity showed a positive significant correlation with the electric field in the frontal stimulation site (r=0.41 (medium effect size), p corrected=0.03). Conclusion(s): The proposed pipeline provides a methodological framework to analyze tDCS effects in terms of dose-response relationships at four different levels to directly link the electric field (dose) variability to the variability of the neural response to tDCS. The results suggest that network-based analysis might be a better approach to provide novel insights into the dependency of the neuromodulatory effects of tDCS on the brain's regional current dose in each individual. Dose-response integration can be informative for dose optimization/customization or predictive/treatment-response biomarker extraction in future brain stimulation studies.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license.",medRxiv,14-Nov-22
A Structural Connectivity Atlas of Limbic Brainstem Nuclei.,"Levinson S.

Miller M.

Iftekhar A.

Justo M.

Arriola D.

Wei W.

Hazany S.

Avecillas-Chasin J.

Kuhn T.

Horn A.

Bari A.","atlas

Brainstem

deep brain stimulation

limbic system

tractography","amygdala

brain cortex

*brain depth stimulation

*brain stem

cognition

connectome

controlled study

*depression

diffusion

dorsal raphe nucleus

dorsolateral prefrontal cortex

emotion

hippocampus

human

insula

limbic cortex

*limbic system

locus ceruleus

mental disease

nuclear magnetic resonance imaging

nucleus accumbens

orbital cortex

periaqueductal gray matter

probability

reward

software

solitary tract nucleus

*tractography

ventral tegmentum",,"amygdala [m]

brain cortex [m]

*brain depth stimulation [m]

*brain stem [m]

cognition [m]

connectome [m]

controlled study [m]

*depression [m]

diffusion [m]

dorsal raphe nucleus [m]

dorsolateral prefrontal cortex [m]

emotion [m]

hippocampus [m]

human [m]

insula [m]

limbic cortex [m]

*limbic system [m]

locus ceruleus [m]

mental disease [m]

nuclear magnetic resonance imaging [m]

nucleus accumbens [m]

orbital cortex [m]

periaqueductal gray matter [m]

probability [m]

reward [m]

software [m]

solitary tract nucleus [m]

*tractography [m]

ventral tegmentum [m]","Background Understanding the structural connectivity of key brainstem nuclei with limbic cortical regions is essential to the development of therapeutic neuromodulation for depression, chronic pain, addiction, anxiety and movement disorders. Several brainstem nuclei have been identified as the primary central nervous system (CNS) source of important monoaminergic ascending fibers including the noradrenergic locus coeruleus, serotonergic dorsal raphe nucleus, and dopaminergic ventral tegmental area. However, due to practical challenges to their study, there is limited data regarding their in vivo anatomic connectivity in humans. Objective To evaluate the structural connectivity of the following brainstem nuclei with limbic cortical areas: locus coeruleus, ventral tegmental area, periaqueductal grey, dorsal raphe nucleus, and nucleus tractus solitarius. Additionally, to develop a group average atlas of these limbic brainstem structures to facilitate future analyses. Methods Each nucleus was manually masked from 197 Human Connectome Project (HCP) structural MRI images using FSL software. Probabilistic tractography was performed using FSL's FMRIB Diffusion Toolbox. Connectivity with limbic cortical regions was calculated and compared between brainstem nuclei. Results were aggregated to produce a freely available MNI structural atlas of limbic brainstem structures. Results A general trend was observed for a high probability of connectivity to the amygdala, hippocampus and DLPFC with relatively lower connectivity to the orbitofrontal cortex, nucleus accumbens, hippocampus and insula. The locus coeruleus and nucleus tractus solitarius demonstrated significantly greater connectivity to the DLPFC than amygdala while the periaqueductal grey, dorsal raphe nucleus, and ventral tegmental area did not demonstrate a significant difference between these two structures. Conclusion Monoaminergic and other modulatory nuclei in the brainstem project widely to cortical limbic regions. We describe the structural connectivity across the several key brainstem nuclei theorized to influence emotion, reward, and cognitive functions. An increased understanding of the anatomic basis of the brainstem's role in emotion and other reward-related processing will support targeted neuromodulatary therapies aimed at alleviating the symptoms of neuropsychiatric disorders.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license.",bioRxiv,13-Aug-22
Thalamic volume and functional connectivity are associated with nicotine dependence severity and craving.,"Lor C.S.

Haugg A.

Zhang M.

Schneider L.M.

Herdener M.

Quednow B.B.

Golestani N.

Scharnowski F.","anatomical scans

anterior cingulate cortex

nicotine dependence

resting-state functional connectivity

smoking urge

structural scans

thalamus","*anterior cingulate

brain depth stimulation

brain function

clinical article

controlled study

*craving

drug dependence

*functional connectivity

functional magnetic resonance imaging

human

neurofeedback

*smoking

smoking cessation

structure activity relation

*thalamus

*tobacco dependence",,"*anterior cingulate [m]

brain depth stimulation [m]

brain function [m]

clinical article [m]

controlled study [m]

*craving [m]

drug dependence [m]

*functional connectivity [m]

functional magnetic resonance imaging [m]

human [m]

neurofeedback [m]

*smoking [m]

smoking cessation [m]

structure activity relation [m]

*thalamus [m]

*tobacco dependence [m]","Tobacco smoking is associated with deleterious health outcomes. Most smokers want to quit smoking, yet relapse rates are high. Understanding neural differences associated with tobacco use may help generate novel treatment options. Several animal studies have recently highlighted the central role of the thalamus in substance use disorders, but this research focus has been understudied in human smokers. Here, we investigated associations between structural and functional magnetic resonance imaging measures of the thalamus and its subnuclei to distinct smoking characteristics. We acquired anatomical scans of 32 smokers as well as functional resting-state scans before and after a cue-reactivity task. Thalamic functional connectivity was associated with craving and dependence severity, whereas the volume of the thalamus was associated with dependence severity only. Craving, which fluctuates rapidly, was best characterized by differences in brain function, whereas the rather persistent syndrome of dependence severity was associated with both brain structural differences and function. Our study supports the notion that functional versus structural measures tend to be associated with behavioral measures that evolve at faster versus slower temporal scales, respectively. It confirms the importance of the thalamus to understand mechanisms of addiction and highlights it as a potential target for brain-based interventions to support smoking cessation, such as brain stimulation and neurofeedback.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC 4.0 International license.",bioRxiv,27-Sep-22
DBS for substance use disorders? An exploratory qualitative study of perspectives of people currently in treatment.,"Versalovic E.

Klein E.

Goering S.

Ngo Q.

Gliske K.

Boulicault M.

Sullivan L.S.

Thomas M.J.

Widge A.S.","deep brain stimulation/DBS

neural technology

neuroethics

qualitative

substance use disorders/SUD","adult

African American

American Indian

*brain depth stimulation

Caucasian

drug combination

*drug dependence

female

Hispanic

hospital patient

human

human tissue

male

personal experience

privacy

*qualitative research

semi structured interview

stigma

surgical risk

videorecording",,"adult [m]

African American [m]

American Indian [m]

*brain depth stimulation [m]

Caucasian [m]

drug combination [m]

*drug dependence [m]

female [m]

Hispanic [m]

hospital patient [m]

human [m]

human tissue [m]

male [m]

personal experience [m]

privacy [m]

*qualitative research [m]

semi structured interview [m]

stigma [m]

surgical risk [m]

videorecording [m]","Objective: While previous studies have discussed the promise of deep brain stimulation (DBS) as a possible treatment for substance use disorders (SUDs) and collected researcher perspectives on possible ethical issues surrounding it, none have consulted those with SUDs themselves. We addressed this gap by interviewing those with SUDs. Method(s): Participants viewed a short video introducing DBS, followed by a 1.5 hour semi-structured interview on their experiences with SUDs and their perspective on DBS as a possible treatment option. Interviews were analyzed by multiple coders who iteratively identified salient themes. Result(s): We interviewed 20 people in 12-step based, inpatient treatment programs (10 [50%] white/Caucasian, 7 Black/African American [35%], 2 Asian [10%], 1 Hispanic/Latino [5%], and 1 [5%] Alaska Native/American Indian; 11 [45%] women). Interviewees described a variety of barriers they currently faced through the course of their disease that mirrored barriers often associated with DBS (stigma, invasiveness, maintenance burdens, privacy risks) and thus made them more open to the possibility of DBS as a future treatment option. Conclusion(s): Individuals with SUDs gave relatively less weight to surgical risks and clinical burdens associated with DBS than previous surveys of provider attitudes anticipated. These differences derived largely from their experiences living with an often-fatal disease and encountering limitations of current treatment options. These findings support the study of DBS as a treatment option for SUDs, with extensive input from people with SUDs and advocates.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license.",medRxiv,25-Apr-22
Innovative perspectives in limbic surgery using deep brain stimulation.,"Carrillo-Ruiz J.D.

Carrillo-Marquez J.R.

Beltran J.Q.

Jimenez-Ponce F.

Garcia-Munoz L.

Navarro-Olvera J.L.

Marquez-Franco R.

Velasco F.","aggressiveness

anxiety

dementia

drug usage

eating disorders

limbic surgery

psychosurgery

transhumanism","aggressiveness

Alzheimer disease/su [Surgery]

anxiety

*brain depth stimulation

dementia

drug dependence/su [Surgery]

eating disorder/su [Surgery]

electrophysiology

human

mental disease/su [Surgery]

neuromodulation

*neurosurgery

Parkinson disease

psychosurgery

schizophrenia/su [Surgery]

short survey

systematic review

thalamotomy

treatment indication

brain computer interface

*limbic surgery",,"aggressiveness

Alzheimer disease / surgery

anxiety

*brain depth stimulation

dementia

drug dependence / surgery

eating disorder / surgery

electrophysiology

human

mental disease / surgery

neuromodulation

*neurosurgery

Parkinson disease

psychosurgery

schizophrenia / surgery

Short Survey

systematic review

thalamotomy

treatment indication","Limbic surgery is one of the most attractive and retaken fields of functional neurosurgery in the last two decades. Psychiatric surgery emerged from the incipient work of Moniz and Lima lesioning the prefrontal cortex in agitated patients. Since the onset of stereotactic and functional neurosurgery with Spiegel and Wycis, the treatment of mental diseases gave attention to refractory illnesses mainly with the use of thalamotomies. Neurosis and some psychotic symptoms were treated by them. Several indications when lesioning the brain were included: obsessive-compulsive disorder, depression, and aggressiveness among others with a diversity of targets. The indiscriminately use of anatomical sites without enough scientific evidence, and uncertainly defined criteria for selecting patients merged with a deficiency in ethical aspects, brought a lack of procedures for a long time: only select clinics allowed this surgery around the world from 1950 to the 1990s. In 1999, Nuttin et al. began a new chapter in limbic surgery with the use of Deep Brain Stimulation, based on the experience of pain, Parkinson's disease, and epilepsy. The efforts were focused on different targets to treat depression and obsessive-compulsive disorders. Nevertheless, other diseases were added to use neuromodulation. The goal of this article is to show the new opportunities to treat neuropsychiatric diseases.Copyright © 2023 Carrillo-Ruiz, Carrillo-Marquez, Beltran, Jimenez-Ponce, Garcia-Munoz, Navarro-Olvera, Marquez-Franco and Velasco.",Frontiers in Neuroscience,2023
Editorial: Insights into structural and functional organization of the brain: evidence from neuroimaging and non-invasive brain stimulation techniques.,"Tanaka M.

Diano M.

Battaglia S.","biomarkers

bipolar disorder

dysmenorrhea

dyspepsia

machine learning

schizophrenia

substance-related disorders","*addiction

*bipolar disorder

*brain depth stimulation

*dysmenorrhea

*dyspepsia

editorial

female

human

*machine learning

*neuroimaging

*schizophrenia

*structure activity relation

*biological marker",*biological marker [m],"*addiction [m]

*bipolar disorder [m]

*brain depth stimulation [m]

*dysmenorrhea [m]

*dyspepsia [m]

editorial [m]

female [m]

human [m]

*machine learning [m]

*neuroimaging [m]

*schizophrenia [m]

*structure activity relation [m]",,Frontiers in Psychiatry,2023
Psychedelic-Assisted Therapy for Substance Use Disorders and Potential Mechanisms of Action.,"Rieser N.M.

Herdener M.

Preller K.H.","Addiction

Hallucinogen

LSD

Mechanism of action

Psilocybin

Psychedelic

Psychedelic-assisted therapy

Substance use disorder

SUD","amygdala

anxiety

autobiographical memory

basolateral amygdala

Beck Anxiety Inventory

behavior change

brain depth stimulation

cognition

cognitive behavioral therapy

comparative effectiveness

coping behavior

default mode network

depression

disease severity

distress syndrome

dorsal anterior cingulate cortex

*drug dependence/dt [Drug Therapy]

embedding

extraversion

functional connectivity

functional magnetic resonance imaging

hippocampus

human

interoception

long term depression

long term potentiation

medial prefrontal cortex

mental disease

mindfulness

mTOR signaling

nerve cell network

nerve cell plasticity

nerve potential

nervous system development

neurofeedback

nuclear magnetic resonance imaging

nucleus accumbens

orbital cortex

outcome assessment

personalized medicine

postcentral gyrus

prepulse inhibition

*psychedelic therapy

psychophysiology

psychosis

psychotherapy

questionnaire

secondary prevention

social cognition

social connectedness

social interaction

social network

ventromedial prefrontal cortex

brain derived neurotrophic factor/ec [Endogenous Compound]

psilocybine

psychedelic agent/an [Drug Analysis]

psychedelic agent/dt [Drug Therapy]

psychedelic agent/pd [Pharmacology]","brain derived neurotrophic factor / endogenous compound

psilocybine

psychedelic agent / drug analysis / drug therapy / pharmacology","amygdala

anxiety

autobiographical memory

basolateral amygdala

Beck Anxiety Inventory

behavior change

brain depth stimulation

cognition

cognitive behavioral therapy

comparative effectiveness

coping behavior

default mode network

depression

disease severity

distress syndrome

dorsal anterior cingulate cortex

*drug dependence / *drug therapy

embedding

extraversion

functional connectivity

functional magnetic resonance imaging

hippocampus

human

interoception

long term depression

long term potentiation

medial prefrontal cortex

mental disease

mindfulness

mTOR signaling

nerve cell network

nerve cell plasticity

nerve potential

nervous system development

neurofeedback

nuclear magnetic resonance imaging

nucleus accumbens

orbital cortex

outcome assessment

personalized medicine

postcentral gyrus

prepulse inhibition

*psychedelic therapy

psychophysiology

psychosis

psychotherapy

questionnaire

secondary prevention

social cognition

social connectedness

social interaction

social network

ventromedial prefrontal cortex","Substance use disorders (SUD) represent a significant public health issue with a high need for novel and efficacious treatment options. In light of this high unmet need, recent results reporting beneficial outcomes of psychedelic-assisted therapy in SUD are particularly relevant. However, several questions remain with regard to this treatment approach. The clinical mechanisms of action of psychedelic substances in the treatment of SUD are not well understood. Closing this knowledge gap is critical to inform and optimize the psychotherapeutic embedding of the acute substance administration. In this chapter, we discuss potential mechanisms that have implications on psychotherapeutic approaches including induced neuroplasticity, alterations in brain network connectivity, reward and emotion processing, social connectedness, insight, and mystical experiences. Furthermore, we outline considerations and approaches that leverage these mechanisms in order to optimize the therapeutic embedding by maximizing synergy between substance effects and psychotherapy. Understanding the mechanisms of action, developing psychotherapeutic approaches accordingly, and evaluating their synergistic efficacy in scientific studies will be critical to advance the framework of psychedelic-assisted therapy for addiction, create evidence-based approaches, and achieve the best treatment outcome for patients with SUD.Copyright © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",,2022
"Anhedonia, Hyperkatifeia, and Negative Reinforcement in Substance Use Disorders.",Koob G.F.,"Addiction

Anhedonia

Hyperkatifeia

Negative reinforcement

Substance use disorders","alcoholism

amygdala

*anhedonia

anterior cingulate

anxiety

basolateral amygdala

Beck Depression Inventory

binge eating disorder

bipolar disorder

brain depth stimulation

brain region

circadian rhythm

cognition

coping behavior

corpus striatum

DNA polymorphism

*drug dependence

DSM-IV

dysphoria

experimental behavioral test

functional magnetic resonance imaging

hippocampus

human

hyperalgesia

immunoreactivity

lateral hypothalamus

liver cirrhosis

major depression

malaise

medial prefrontal cortex

mental disease

motivation

*negative reinforcement

nerve cell plasticity

nervous system development

neurotransmission

nociception

nonhuman

nuclear magnetic resonance imaging

nucleus accumbens

pain

pain threshold

physiological stress

Positive and Negative Syndrome Scale

positive reinforcement

postsynaptic potential

posttraumatic stress disorder

psychiatrist

psychosis

psychotherapy

quality of life

reinforcement (psychology)

REM sleep

schizophrenia

sleep disorder

sleep waking cycle

social interaction

task performance

valence (emotion)

ventral striatum

4 aminobutyric acid

brain derived neurotrophic factor

cocaine/iv [Intravenous Drug Administration]

corticotropin

corticotropin releasing factor

dopamine 2 receptor

dopamine receptor

dynorphin

endocannabinoid

escitalopram

glucocorticoid

kappa opiate receptor antagonist

lorazepam

naloxone

naltrexone

neuropeptide Y

noradrenalin

olanzapine

opiate

orexin

risperidone

vasopressin

vasopressin V1b receptor

*hyperkatifeia","4 aminobutyric acid

brain derived neurotrophic factor

cocaine / intravenous drug administration

corticotropin

corticotropin releasing factor

dopamine 2 receptor

dopamine receptor

dynorphin

endocannabinoid

escitalopram

glucocorticoid

kappa opiate receptor antagonist

lorazepam

naloxone

naltrexone

neuropeptide Y

noradrenalin

olanzapine

opiate

orexin

risperidone

vasopressin

vasopressin V1b receptor","alcoholism

amygdala

*anhedonia

anterior cingulate

anxiety

basolateral amygdala

Beck Depression Inventory

binge eating disorder

bipolar disorder

brain depth stimulation

brain region

circadian rhythm

cognition

coping behavior

corpus striatum

DNA polymorphism

*drug dependence

DSM-IV

dysphoria

experimental behavioral test

functional magnetic resonance imaging

hippocampus

human

hyperalgesia

immunoreactivity

lateral hypothalamus

liver cirrhosis

major depression

malaise

medial prefrontal cortex

mental disease

motivation

*negative reinforcement

nerve cell plasticity

nervous system development

neurotransmission

nociception

nonhuman

nuclear magnetic resonance imaging

nucleus accumbens

pain

pain threshold

physiological stress

Positive and Negative Syndrome Scale

positive reinforcement

postsynaptic potential

posttraumatic stress disorder

psychiatrist

psychosis

psychotherapy

quality of life

reinforcement (psychology)

REM sleep

schizophrenia

sleep disorder

sleep waking cycle

social interaction

task performance

valence (emotion)

ventral striatum","Drug addiction has been defined as a chronically relapsing disorder that is characterized by a compulsion to seek and take a drug or stimulus, the loss of control in limiting intake, and the emergence of a negative emotional state when access to the drug or stimulus is prevented, a component of which is anhedonia. The present review explores a heuristic framework for understanding the role of anhedonia in addiction, in which anhedonia is a key component of hyperkatifeia (conceptualized as the potentiated intensity of negative emotional/motivational symptoms during drug withdrawal) and negative reinforcement in addiction. The neural substrates that mediate such anhedonia and crosstalk between elements of hyperkatifeia that contribute to anhedonia are then explored, including crosstalk between physical pain and emotional pain systems. The present review explores current knowledge of neurochemical neurocircuitry changes that are associated with conditioned hyperkatifeia/anhedonia. The overall hypothesis is that the shift in motivation toward negative reinforcement in addiction reflects the allostatic misregulation of hedonic tone, such that drug taking makes anhedonia worse during the process of seeking temporary relief by compulsive drug taking, thereby perpetuating the addiction cycle and hedonic comorbidities that are associated with addiction.Copyright © 2022, Springer Science and Business Media Deutschland GmbH. All rights reserved.",,2022
Safety and feasibility clinical trial of nucleus accumbens deep brain stimulation for treatment-refractory opioid use disorder.,"Rezai A.R.

Mahoney J.J.

Ranjan M.

Haut M.W.

Zheng W.

Lander L.R.

Berry J.H.

Farmer D.L.

Marton J.L.

Tirumalai P.

Mears A.

Thompson-Lake D.G.Y.

Finomore V.S.

D'Haese P.-F.

Aklin W.M.

George D.T.

Corrigan J.D.

Hodder S.L.","addiction

deep brain stimulation

functional neurosurgery

neuromodulation

nucleus accumbens

opioid use disorder

overdose

treatment refractory","abstinence

adult

anxiety

article

*brain depth stimulation

clinical trial

cohort analysis

controlled study

craving

deep brain stimulator

*depression

drug craving

*drug dependence

drug overdose

*drug safety

drug therapy

exploratory research

*feasibility study

follow up

frontal cortex

glucose metabolism

human

human tissue

major clinical study

male

microcapsule

neuroimaging

*neuromodulation

*neurosurgery

*nucleus accumbens

outcome assessment

prevalence

prospective study

randomized controlled trial

substance use

surgery

*opiate

unclassified drug","*opiate [m]

unclassified drug [m]","abstinence [m]

adult [m]

anxiety [m]

article [m]

*brain depth stimulation [m]

clinical trial [m]

cohort analysis [m]

controlled study [m]

craving [m]

deep brain stimulator [m]

*depression [m]

drug craving [m]

*drug dependence [m]

drug overdose [m]

*drug safety [m]

drug therapy [m]

exploratory research [m]

*feasibility study [m]

follow up [m]

frontal cortex [m]

glucose metabolism [m]

human [m]

human tissue [m]

major clinical study [m]

male [m]

microcapsule [m]

neuroimaging [m]

*neuromodulation [m]

*neurosurgery [m]

*nucleus accumbens [m]

outcome assessment [m]

prevalence [m]

prospective study [m]

randomized controlled trial [m]

substance use [m]

surgery [m]","OBJECTIVE: There were more than 107,000 drug overdose deaths in the US in 2021, the most ever recorded. Despite advances in behavioral and pharmacological treatments, over 50% of those receiving treatment for opioid use disorder (OUD) experience drug use recurrence (relapse). Given the prevalence of OUD and other substance use disorders (SUDs), the high rate of drug use recurrence, and the number of drug overdose deaths, novel treatment strategies are desperately needed. The objective of this study was to evaluate the safety and feasibility of deep brain stimulation (DBS) targeting the nucleus accumbens (NAc)/ventral capsule (VC) and potential impact on outcomes in individuals with treatment-refractory OUD. METHOD(S): A prospective, open-label, single-arm study was conducted among participants with longstanding treatment-refractory OUD (along with other co-occurring SUDs) who underwent DBS in the NAc/VC. The primary study endpoint was safety; secondary/exploratory outcomes included opioid and other substance use, substance craving, and emotional symptoms throughout follow-up and 18FDG-PET neuroimaging. RESULT(S): Four male participants were enrolled and all tolerated DBS surgery well with no serious adverse events (AEs) and no device- or stimulation-related AEs. Two participants sustained complete substance abstinence for > 1150 and > 520 days, respectively, with significant post-DBS reductions in substance craving, anxiety, and depression. One participant experienced post-DBS drug use recurrences with reduced frequency and severity. The DBS system was explanted in one participant due to noncompliance with treatment requirements and the study protocol. 18FDG-PET neuroimaging revealed increased glucose metabolism in the frontal regions for the participants with sustained abstinence only. CONCLUSION(S): DBS of the NAc/VC was safe, feasible, and can potentially reduce substance use, craving, and emotional symptoms in those with treatment-refractory OUD. A randomized, sham-controlled trial in a larger cohort of patients is being initiated.",Journal of neurosurgery,09-Jun-23
"The integrated treatment of eating disorders, posttraumatic stress disorder, and psychiatric comorbidity: a commentary on the evolution of principles and guidelines.",Brewerton T.D.,"comorbidity

eating disorders

guidelines

PTSD

trauma

treatment","acceptance and commitment therapy

anxiety disorder/th [Therapy]

attention deficit hyperactivity disorder/th [Therapy]

brain depth stimulation

cognitive behavioral therapy

cognitive processing therapy

*comorbidity

detoxification

dialectical behavior therapy

diet therapy

dissociative disorder/th [Therapy]

drug dependence/th [Therapy]

*eating disorder/di [Diagnosis]

*eating disorder/dt [Drug Therapy]

*eating disorder/th [Therapy]

electroconvulsive therapy

evidence based practice

exposure therapy

eye movement desensitization and reprocessing

harm reduction

human

impulse control disorder/th [Therapy]

interpersonal psychotherapy

maintenance therapy

*mental disease/di [Diagnosis]

*mental disease/th [Therapy]

mental disease assessment

mood disorder/th [Therapy]

motivational interviewing

multiple chronic conditions

narrative therapy

neuromodulation

obsessive compulsive disorder/th [Therapy]

personality disorder/th [Therapy]

*posttraumatic stress disorder/di [Diagnosis]

*posttraumatic stress disorder/dt [Drug Therapy]

*posttraumatic stress disorder/ep [Epidemiology]

*practice guideline

prevalence

psychoeducation

psychotherapy

psychotrauma

relapse

remission

repetitive transcranial magnetic stimulation

review

safety

therapy resistance

trauma-focused cognitive behavioral therapy

*treatment planning

treatment resistant depression/dt [Drug Therapy]

treatment resistant depression/th [Therapy]

treatment response

anticonvulsive agent/dt [Drug Therapy]

antidepressant agent/dt [Drug Therapy]

atypical antipsychotic agent/dt [Drug Therapy]

esketamine

fluoxetine/dt [Drug Therapy]

ketamine

midomafetamine

naltrexone/dt [Drug Therapy]

olanzapine/dt [Drug Therapy]

psilocybine

serotonin 4 antagonist/dt [Drug Therapy]

serotonin uptake inhibitor/dt [Drug Therapy]

topiramate/dt [Drug Therapy]

compassion focused therapy

motivational enhancement therapy

narrative exposure therapy

written exposure therapy","anticonvulsive agent / drug therapy

antidepressant agent / drug therapy

atypical antipsychotic agent / drug therapy

esketamine

fluoxetine / drug therapy

ketamine

midomafetamine

naltrexone / drug therapy

olanzapine / drug therapy

psilocybine

serotonin 4 antagonist / drug therapy

serotonin uptake inhibitor / drug therapy

topiramate / drug therapy","acceptance and commitment therapy

anxiety disorder / therapy

attention deficit hyperactivity disorder / therapy

brain depth stimulation

cognitive behavioral therapy

cognitive processing therapy

*comorbidity

detoxification

dialectical behavior therapy

diet therapy

dissociative disorder / therapy

drug dependence / therapy

*eating disorder / *diagnosis / *drug therapy / *therapy

electroconvulsive therapy

evidence based practice

exposure therapy

eye movement desensitization and reprocessing

harm reduction

human

impulse control disorder / therapy

interpersonal psychotherapy

maintenance therapy

*mental disease / *diagnosis / *therapy

mental disease assessment

mood disorder / therapy

motivational interviewing

multiple chronic conditions

narrative therapy

neuromodulation

obsessive compulsive disorder / therapy

personality disorder / therapy

*posttraumatic stress disorder / *diagnosis / *drug therapy / *epidemiology

*practice guideline

prevalence

psychoeducation

psychotherapy

psychotrauma

relapse

remission

repetitive transcranial magnetic stimulation

Review

safety

therapy resistance

trauma-focused cognitive behavioral therapy

*treatment planning

treatment resistant depression / drug therapy / therapy

treatment response","Psychiatric comorbidity is the norm in the assessment and treatment of eating disorders (EDs), and traumatic events and lifetime PTSD are often major drivers of these challenging complexities. Given that trauma, PTSD, and psychiatric comorbidity significantly influence ED outcomes, it is imperative that these problems be appropriately addressed in ED practice guidelines. The presence of associated psychiatric comorbidity is noted in some but not all sets of existing guidelines, but they mostly do little to address the problem other than referring to independent guidelines for other disorders. This disconnect perpetuates a ""silo effect,"" in which each set of guidelines do not address the complexity of the other comorbidities. Although there are several published practice guidelines for the treatment of EDs, and likewise, there are several published practice guidelines for the treatment of PTSD, none of them specifically address ED + PTSD. The result is a lack of integration between ED and PTSD treatment providers, which often leads to fragmented, incomplete, uncoordinated and ineffective care of severely ill patients with ED + PTSD. This situation can inadvertently promote chronicity and multimorbidity and may be particularly relevant for patients treated in higher levels of care, where prevalence rates of concurrent PTSD reach as high as 50% with many more having subthreshold PTSD. Although there has been some progress in the recognition and treatment of ED + PTSD, recommendations for treating this common comorbidity remain undeveloped, particularly when there are other co-occurring psychiatric disorders, such as mood, anxiety, dissociative, substance use, impulse control, obsessive-compulsive, attention-deficit hyperactivity, and personality disorders, all of which may also be trauma-related. In this commentary, guidelines for assessing and treating patients with ED + PTSD and related comorbidity are critically reviewed. An integrated set of principles used in treatment planning of PTSD and trauma-related disorders is recommended in the context of intensive ED therapy. These principles and strategies are borrowed from several relevant evidence-based approaches. Evidence suggests that continuing with traditional single-disorder focused, sequential treatment models that do not prioritize integrated, trauma-focused treatment approaches are short-sighted and often inadvertently perpetuate this dangerous multimorbidity. Future ED practice guidelines would do well to address concurrent illness in more depth.Copyright © 2023 Brewerton.",Frontiers in Psychiatry,2023
