Title,Authors,KW,MH,OD,Abstract,Journal,Published Year,DU
Virtual neural network-guided optimization of non-invasive brain stimulation in Alzheimer's disease.,"Luppi J.J.

Stam C.J.

Scheltens P.

de Haan W.","Alzheimer's disease

electrophysiology

network neuroscience

neural mass model

transcranial direct current stimulation","adult

*algorithm

*Alzheimer disease

animal experiment

animal model

*brain depth stimulation

cathode electrode

cohort analysis

controlled study

deterioration

*electrophysiology

excitability

female

follow up

human

magnetoencephalography

male

*nerve cell network

*neuroscience

nonhuman

outcome assessment

prediction

pyramidal nerve cell

simulation

spectroscopy

*transcranial direct current stimulation","adult [m]

*algorithm [m]

*Alzheimer disease [m]

animal experiment [m]

animal model [m]

*brain depth stimulation [m]

cathode electrode [m]

cohort analysis [m]

controlled study [m]

deterioration [m]

*electrophysiology [m]

excitability [m]

female [m]

follow up [m]

human [m]

magnetoencephalography [m]

male [m]

*nerve cell network [m]

*neuroscience [m]

nonhuman [m]

outcome assessment [m]

prediction [m]

pyramidal nerve cell [m]

simulation [m]

spectroscopy [m]

*transcranial direct current stimulation [m]","Transcranial direct current stimulation (tDCS) is a non-invasive brain stimulation technique with potential for counteracting disrupted brain network activity in Alzheimer's disease (AD) to improve cognition. However, the results of tDCS studies in AD have been variable due to different methodological choices such as electrode placement. To address this, a virtual brain network model of AD was used to explore tDCS optimization. We compared a large, representative set of virtual tDCS intervention setups, to identify the theoretically optimized tDCS electrode positions for restoring functional network features disrupted in AD. We simulated 20 tDCS setups using a computational dynamic network model of 78 neural masses coupled according to human structural topology. AD network damage was simulated using an activity-dependent degeneration algorithm. Current flow modeling was used to estimate tDCS-targeted cortical regions for different electrode positions, and excitability of the pyramidal neurons of the corresponding neural masses was modulated to simulate tDCS. Outcome measures were relative power spectral density (alpha bands, 8-10 Hz and 10-13 Hz), total spectral power, posterior alpha peak frequency, and connectivity measures phase lag index (PLI) and amplitude envelope correlation (AEC). Virtual tDCS performance varied, with optimized strategies improving all outcome measures, while others caused further deterioration. The best performing setup involved right parietal anodal stimulation, with a contralateral supraorbital cathode. A clear correlation between the network role of stimulated regions and tDCS success was not observed. This modeling-informed approach can guide and perhaps accelerate tDCS therapy development and enhance our understanding of tDCS effects. Follow-up studies will compare the general predictions to personalized virtual models and validate them with tDCS-magnetoencephalography (MEG) in a clinical AD patient cohort.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY 4.0 International license.",bioRxiv,09-May-23,
A cingulate-hippocampal circuit mediates early depressive symptoms in Alzheimer's disease.,"Chen Y.

Peng H.

Zhuang K.

Xie W.

Li C.

Xue J.

Chen M.

Huang X.

Zou T.

Wang Y.

Can D.

Li H.

Yuan T.

Zhang J.",,"5xFAD mouse

*Alzheimer disease

animal experiment

animal model

anterior cingulate

axon

brain depth stimulation

cingulate gyrus

cognitive defect

controlled study

*depression

emotion

hippocampal CA1 region

*hippocampus

human

in vivo study

male

mouse

nonhuman

photometry

synapse

calcium

endogenous compound

glutamic acid

neu differentiation factor","5xFAD mouse [m]

*Alzheimer disease [m]

animal experiment [m]

animal model [m]

anterior cingulate [m]

axon [m]

brain depth stimulation [m]

cingulate gyrus [m]

cognitive defect [m]

controlled study [m]

*depression [m]

emotion [m]

hippocampal CA1 region [m]

*hippocampus [m]

human [m]

in vivo study [m]

male [m]

mouse [m]

nonhuman [m]

photometry [m]

synapse [m]","Depressive symptoms are prevalent and precedes cognitive decline in Alzheimer's disease (AD), which worsen the clinical outcome and severely challenge the life quality of the patients. However, the neural circuitry mediating mood disturbance in AD remains elusive. Here we report that the glutamatergic projection from the anterior cingulate cortex (ACC) to the ventral hippocampal CA1 (vCA1) acts as the neural substrate of depressive symptoms in AD. We systemically mapped axonal projection in early stage of 5xFAD mice (3 months), which accompanies depressive-like behavior in these animals and identified reduced axonal projection from ACC to vCA1. This is in accordance with reduced axonal calcium signals detected with in vivo fiber photometry. Chemogenetic or optogenetic reversal of ACC-vCA1 circuitry activity efficiently ameliorated the depressive-like behaviors as well as cognitive impairment in 5xFAD mice. We further identified the synaptic molecules neuregulin-1 (Nrg1) as one vital signal regulating the synaptic glutamate transmission from the ACC to the vCA1. Collectively, these results indicated ACC-vCA1 as a critical pathway that regulates emotional states in Alzheimer' disease. Targeting cingulate cortices with brain stimulation may treat depression in AD.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY 4.0 International license.",bioRxiv,07-Feb-23,"calcium [m]

endogenous compound [m]

glutamic acid [m]

neu differentiation factor [m]"
Optimal Stimulation Sites and Networks for Deep Brain Stimulation of the Fornix in Alzheimer's Disease.,"Rios A.S.

Oxenford S.

Neudorfer C.

Butenko K.

Li N.

Rajamani N.

Boutet A.

Elias G.J.B.

Germann J.

Loh A.

Deeb W.

Wang F.

Setsompop K.

Salvato B.

Almeida L.

Foote K.D.

Amaral R.

Rosenberg P.B.

Tang-Wai D.F.

Wolk D.A.

Burke A.D.

Salloway S.

Sabbagh M.N.

Chakravarty M.M.

Smith G.S.

Lyketsos C.G.

Okun M.S.

Anderson W.S.

Mari Z.

Ponce F.A.

Lozano A.M.

Horn A.","Alzheimer's disease (AD)

Connectome

Deep Brain Stimulation (DBS)

Fornix

Network mapping

Structural Connectivity","adult

*Alzheimer disease

*brain depth stimulation

*brain fornix

clinical article

cohort analysis

*connectome

controlled study

cross validation

female

functional connectivity

guiding device

human

male

memory

nerve cell network

stria terminalis","adult [m]

*Alzheimer disease [m]

*brain depth stimulation [m]

*brain fornix [m]

clinical article [m]

cohort analysis [m]

*connectome [m]

controlled study [m]

cross validation [m]

female [m]

functional connectivity [m]

guiding device [m]

human [m]

male [m]

memory [m]

nerve cell network [m]

stria terminalis [m]","Deep brain stimulation (DBS) to the fornix is an investigational treatment option for patients with mild Alzheimer's Disease. Outcomes from randomized clinical trials have shown that cognitive function improved in some patients but deteriorated in others. One reason could be variance in electrode placement leading to differential engagement of neural circuits. To investigate this, we analyzed a multi-center cohort of 46 patients with DBS to the fornix. Using normative structural and functional connectivity data, we demonstrate that stimulation of the circuit of Papez and stria terminalis robustly associated with cognitive improvement (R = 0.45, p = 0.031). On a local level, the optimal stimulation site resided at the direct interface between these structures (R = 0.33, p = 0.016). Finally, modulating specific distributed brain networks related to memory accounted for optimal outcomes (R = 0.38, p = 0.006). Findings were robust to multiple cross-validation designs and may now define an optimal network target which could subsequently guide refinement of DBS surgery and programming.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC 4.0 International license.",medRxiv,09-Sep-22,
Gamma connectivity predicts response to intermittent Theta Burst Stimulation in Alzheimer's disease: A randomised controlled trial.,"Hoy K.E.

Emonson M.R.L.

Bailey N.W.

Rogers C.

Coyle H.

Stockman F.

Fitzgerald P.B.","cognitive disorders

experimental therapeutics

functional connectivity

non-invasive brain stimulation","adult

*Alzheimer disease

*brain depth stimulation

cognition

*cognitive defect

controlled study

dorsolateral prefrontal cortex

electroencephalogram

episodic memory

female

functional assessment

*functional connectivity

human

major clinical study

male

randomized controlled trial

recall","adult [m]

*Alzheimer disease [m]

*brain depth stimulation [m]

cognition [m]

*cognitive defect [m]

controlled study [m]

dorsolateral prefrontal cortex [m]

electroencephalogram [m]

episodic memory [m]

female [m]

functional assessment [m]

*functional connectivity [m]

human [m]

major clinical study [m]

male [m]

randomized controlled trial [m]

recall [m]","Alzheimer's disease is characterised by progressive cognitive decline for which there are currently no effective treatments. There is growing evidence that neural network dysfunction is a likely proximate cause of cognitive impairment in Alzheimer's and, as such, may represent a promising therapeutic target. Here we investigated whether a course of intermittent Theta Burst Stimulation (iTBS) could modulate functional connectivity and cognitive function in mild to moderate Alzheimer's disease. Fifty-eight participants were randomised to receive a course of either active or sham iTBS. Stimulation was applied to four brain sites sequentially in each treatment session: left DLPFC, right DLPFC, left PPC, and right PPC. Neurobiological (EEG), cognitive (CogState, ADASCog), and functional (QoL-AD, GDS) assessments were undertaken at baseline and end of treatment. Cognitive and functional assessments were also conducted at 3-months (blinded) and 6-months (active group only) following end of treatment. Active iTBS resulted in a significant and large increase in resting state gamma connectivity as well as improved delayed recall on an episodic memory task. Both baseline gamma connectivity, and change in gamma connectivity, were found to be predictive of improved delayed recall following active treatment. These findings support future research into iTBS for the treatment of Alzheimer's disease focussing on protocol optimisation.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. All rights reserved. No reuse allowed without permission.",medRxiv,22-Feb-22,
Genetic screening for Huntington disease phenocopies in Sweden: A tertiary center case series focused on short tandem repeat (STR) disorders.,"Paucar M.

Laffita-Mesa J.

Niemela V.

Malmgren H.

Nennesmo I.

Lagerstedt-Robinson K.

Nordenskjold M.

Svenningsson P.","Chorea

Huntington's disease phenocopies

Huntington's disease-like","adult

amyotrophic lateral sclerosis

article

blood donor

brain depth stimulation

CAG repeat

cerebellar ataxia

chorea

clinical feature

cohort analysis

congenital hypothyroidism

dementia

demographics

depression

ethnic background

family history

female

frontotemporal dementia

genetic analysis

*genetic screening

genetic susceptibility

genotype

geriatrician

human

human tissue

Huntington chorea/di [Diagnosis]

*Huntington disease like syndrome

intellectual impairment

involuntary movement

Machado Joseph disease

major clinical study

male

molecular diagnosis

myoclonus dystonia/di [Diagnosis]

neurologist

patient referral

pedigree

prion disease/di [Diagnosis]

psychiatrist

psychosis

*short tandem repeat

sibling

special education

spinocerebellar degeneration/di [Diagnosis]

Sweden

treatment refusal

ataxin/ec [Endogenous Compound]

ataxin 2/ec [Endogenous Compound]

ataxin 3/ec [Endogenous Compound]

epsilon sarcoglycan/ec [Endogenous Compound]

guanine nucleotide exchange C9orf72/ec [Endogenous Compound]

nucleotide/ec [Endogenous Compound]

octapeptide/ec [Endogenous Compound]

prion protein/ec [Endogenous Compound]

TATA binding protein/ec [Endogenous Compound]

unclassified drug

spinocerebellar ataxia 17 protein/ec [Endogenous Compound]","adult

amyotrophic lateral sclerosis

Article

blood donor

brain depth stimulation

CAG repeat

cerebellar ataxia

chorea

clinical feature

cohort analysis

congenital hypothyroidism

dementia

demographics

depression

ethnic background

family history

female

frontotemporal dementia

genetic analysis

*genetic screening

genetic susceptibility

genotype

geriatrician

human

human tissue

Huntington chorea / diagnosis

*Huntington disease like syndrome

intellectual impairment

involuntary movement

Machado Joseph disease

major clinical study

male

molecular diagnosis

myoclonus dystonia / diagnosis

neurologist

patient referral

pedigree

prion disease / diagnosis

psychiatrist

psychosis

*short tandem repeat

sibling

special education

spinocerebellar degeneration / diagnosis

Sweden

treatment refusal","Objective: To perform a screening for Huntington disease (HD) phenocopies in a Swedish cohort. Method(s): Seventy-three DNA samples negative for HD were assessed at a tertiary center in Stockholm. The screening included analyses for C9orf72-frontotemporal dementia/amyotrophic lateral sclerosis (C9orf72-FTD/ALS), octapeptide repeat insertions (OPRIs) in PRNP associated with inherited prion diseases (IPD), Huntington's disease-like 2 (HDL2), spinocerebellar ataxia-2 (SCA2), spinocerebellar ataxia 3 (SCA3) and spinocerebellar ataxia-17 (SCA17). Targeted genetic analysis was carried out in two cases based on the salient phenotypic features. Result(s): The screening identified two patients with SCA17, one patient with IPD associated with 5-OPRI but none with nucleotide expansions in C9orf72 or for HDL2, SCA2 or SCA3. Furthermore, SGCE-myoclonic-dystonia 11 (SGCE-M-D) and benign hereditary chorea (BHC) was diagnosed in two sporadic cases. WES identified VUS in STUB1 in two patients with predominant cerebellar ataxia. Conclusion(s): Our results are in keeping with previous screenings and suggest that other genes yet to be discovered are involved in the etiology of HD phenocopies.Copyright © 2023 The Authors",Journal of the Neurological Sciences,15-Aug-23,"ataxin / endogenous compound

ataxin 2 / endogenous compound

ataxin 3 / endogenous compound

epsilon sarcoglycan / endogenous compound

guanine nucleotide exchange C9orf72 / endogenous compound

nucleotide / endogenous compound

octapeptide / endogenous compound

prion protein / endogenous compound

TATA binding protein / endogenous compound

unclassified drug"
Dorsolateral Nigral Hyperintensity on 1.5 T Versus 3 T Susceptibility-Weighted Magnetic Resonance Imaging in Neurodegenerative Parkinsonism.,"Grossauer A.

Muller C.

Hussl A.

Krismer F.

Schocke M.

Gizewski E.

Mahlknecht P.

Scherfler C.

Wenning G.K.

Poewe W.

Seppi K.

Heim B.","dorsolateral nigral hyperintensity

multiple system atrophy

Parkinson's disease

progressive supranuclear palsy

susceptibility-weighted imaging","aged

article

brain atrophy

brain depth stimulation

brain size

clinical article

clinical assessment

comparative study

controlled study

*degenerative disease

dementia

demographics

diagnostic accuracy

diagnostic test accuracy study

disease duration

disease severity

Expanded Disability Status Scale

female

gray matter

human

image analysis

interrater reliability

major clinical study

male

Montreal cognitive assessment

multiple sclerosis

neuropsychological assessment

neuroradiologist

*nuclear magnetic resonance imaging

Parkinson disease

*parkinsonism

predictive value

primary medical care

progressive supranuclear palsy

prospective study

scoring system

sensitivity and specificity

Shy Drager syndrome

susceptibility weighted imaging

Unified Parkinson Disease Rating Scale

calbindin/pv [Special Situation for Pharmacovigilance]

*MRI scanner

Magnetom Avanto 1.5 T

Magnetom Verio 3 T","aged

Article

brain atrophy

brain depth stimulation

brain size

clinical article

clinical assessment

comparative study

controlled study

*degenerative disease

dementia

demographics

diagnostic accuracy

diagnostic test accuracy study

disease duration

disease severity

Expanded Disability Status Scale

female

gray matter

human

image analysis

interrater reliability

major clinical study

male

Montreal cognitive assessment

multiple sclerosis

neuropsychological assessment

neuroradiologist

*nuclear magnetic resonance imaging

Parkinson disease

*parkinsonism

predictive value

primary medical care

progressive supranuclear palsy

prospective study

scoring system

sensitivity and specificity

Shy Drager syndrome

susceptibility weighted imaging

Unified Parkinson Disease Rating Scale","Background: An absent dorsolateral nigral hyperintensity (DNH) is a common finding in patients with neurodegenerative parkinsonism at high or ultra-high field susceptibility-weighted magnetic resonance imaging (SWI). Objective(s): Despite increasing use of high field magnetic resonance imaging (MRI) in specialized centers, these scanners are still frequently unavailable in primary care or outpatient facilities and underdeveloped or emerging countries. Therefore, the aim of the present study was to evaluate the diagnostic utility of DNH assessment at 1.5 versus 3 T MRI to distinguish patients with neurodegenerative parkinsonism, including Parkinson's disease (PD), multiple system atrophy (MSA) and progressive supranuclear palsy (PSP), from healthy controls (HC). Method(s): Absence of DNH was assessed on visual inspection of anonymized 1.5 T and 3.0 T SWI scans in a case-control study including 86 patients with neurodegenerative parkinsonism and 33 healthy controls (HC). All study participants were consecutively recruited to undergo 1.5 and 3 T MRI. Result(s): Overall correct classification was 81.7% (95% CI, 72.6-88.4%) for 1.5 T and 95.7% (95% CI, 89.1-98.7%) for 3 T MRI in discriminating neurodegenerative parkinsonism from controls. However, while DNH was bilaterally present in all but one of the HC at 3 T MRI, it was rated as abnormal (at least unilateral absence) in 15 of 22 HC at 1.5 T MRI, resulting in a specificity of 31.8%. Conclusion(s): The results of the present study demonstrate an insufficient specificity of visual assessment of DNH at 1.5 T MRI for the diagnosis of neurodegenerative parkinsonism.Copyright © 2023 The Authors. Movement Disorders Clinical Practice published by Wiley Periodicals LLC on behalf of International Parkinson and Movement Disorder Society.",Movement Disorders Clinical Practice,Jun-23,calbindin / special situation for pharmacovigilance
Innovative perspectives in limbic surgery using deep brain stimulation.,"Carrillo-Ruiz J.D.

Carrillo-Marquez J.R.

Beltran J.Q.

Jimenez-Ponce F.

Garcia-Munoz L.

Navarro-Olvera J.L.

Marquez-Franco R.

Velasco F.","aggressiveness

anxiety

dementia

drug usage

eating disorders

limbic surgery

psychosurgery

transhumanism","aggressiveness

Alzheimer disease/su [Surgery]

anxiety

*brain depth stimulation

dementia

drug dependence/su [Surgery]

eating disorder/su [Surgery]

electrophysiology

human

mental disease/su [Surgery]

neuromodulation

*neurosurgery

Parkinson disease

psychosurgery

schizophrenia/su [Surgery]

short survey

systematic review

thalamotomy

treatment indication

brain computer interface

*limbic surgery","aggressiveness

Alzheimer disease / surgery

anxiety

*brain depth stimulation

dementia

drug dependence / surgery

eating disorder / surgery

electrophysiology

human

mental disease / surgery

neuromodulation

*neurosurgery

Parkinson disease

psychosurgery

schizophrenia / surgery

Short Survey

systematic review

thalamotomy

treatment indication","Limbic surgery is one of the most attractive and retaken fields of functional neurosurgery in the last two decades. Psychiatric surgery emerged from the incipient work of Moniz and Lima lesioning the prefrontal cortex in agitated patients. Since the onset of stereotactic and functional neurosurgery with Spiegel and Wycis, the treatment of mental diseases gave attention to refractory illnesses mainly with the use of thalamotomies. Neurosis and some psychotic symptoms were treated by them. Several indications when lesioning the brain were included: obsessive-compulsive disorder, depression, and aggressiveness among others with a diversity of targets. The indiscriminately use of anatomical sites without enough scientific evidence, and uncertainly defined criteria for selecting patients merged with a deficiency in ethical aspects, brought a lack of procedures for a long time: only select clinics allowed this surgery around the world from 1950 to the 1990s. In 1999, Nuttin et al. began a new chapter in limbic surgery with the use of Deep Brain Stimulation, based on the experience of pain, Parkinson's disease, and epilepsy. The efforts were focused on different targets to treat depression and obsessive-compulsive disorders. Nevertheless, other diseases were added to use neuromodulation. The goal of this article is to show the new opportunities to treat neuropsychiatric diseases.Copyright © 2023 Carrillo-Ruiz, Carrillo-Marquez, Beltran, Jimenez-Ponce, Garcia-Munoz, Navarro-Olvera, Marquez-Franco and Velasco.",Frontiers in Neuroscience,2023,
Alzheimer's Pathogenesis and Treatment by Transcranial Pulse Stimulation.,"Naydenov C.

Manolova T.

Mindov I.","Alzheimer's novel treatment

TPS effects

Ultrasound brain stimulation","*Alzheimer disease

article

blood flow

brain depth stimulation

brain mitochondrion

cell death

degenerative disease

diabetes mellitus

DNA damage

gene expression

human

medial temporal lobe

nerve regeneration

obesity

*pathogenesis

protein expression

protein structure

*stimulation

synaptic dysfunction

ultrasound

adenosine triphosphate

amyloid beta protein

glucose transporter 3

growth factor

reactive oxygen metabolite

streptozocin

tau protein

*transcranial pulse stimulation","*Alzheimer disease

Article

blood flow

brain depth stimulation

brain mitochondrion

cell death

degenerative disease

diabetes mellitus

DNA damage

gene expression

human

medial temporal lobe

nerve regeneration

obesity

*pathogenesis

protein expression

protein structure

*stimulation

synaptic dysfunction

ultrasound","The article discusses the use of transcranial pulse stimulation (TPS), a treatment method that uses ultrasound to penetrate the brain up to 8 cm. The article aims to review published studies on the effects of TPS on Alzheimer's disease and to link the mechanism of the treatment with the pathophysiology of the disease. The discussion highlights the pathological triad of senile plaques, neurofibrillary tangles, and granular degeneration that causes Alzheimer's disease. Patients with diabetes mellitus are predisposed to degenerative diseases, and the overlap between Alzheimer's disease and obesity may be explained by the use of streptozotocin, which generates reactive oxygen species leading to DNA damage and cell death. The accumulation of beta-amyloid in the brain, mitochondrial malfunction, decreased production of ATP, and energy insufficiency is also discussed. The article concludes that TPS is a potential treatment for Alzheimer's disease and that it can boost the expression of growth factors, enhance the flow of blood to the brain, trigger the creation of novel blood vessels, and promote the regeneration of nerves.Copyright © 2023, Scientific Foundation SPIROSKI. All rights reserved.",Open Access Macedonian Journal of Medical Sciences,04-Jan-23,"adenosine triphosphate

amyloid beta protein

glucose transporter 3

growth factor

reactive oxygen metabolite

streptozocin

tau protein"
The cognitive dysfunction of claustrum on Alzheimer's disease: A mini-review.,"Chen C.-Y.

Yang G.-Y.

Tu H.-X.

Weng X.-C.

Hu C.

Geng H.-Y.","Alzheimer's disease

claustrum

cognitive dysfunction

neural circuits

pathology","*Alzheimer disease

attention

brain atrophy

brain depth stimulation

*claustrum

cognition

*cognitive defect

degenerative disease

dementia

executive function

human

language

memory

mental disease

neurofibrillary tangle

neuropathology

nonhuman

short survey

spatial attention

amyloid beta protein","*Alzheimer disease

attention

brain atrophy

brain depth stimulation

*claustrum

cognition

*cognitive defect

degenerative disease

dementia

executive function

human

language

memory

mental disease

neurofibrillary tangle

neuropathology

nonhuman

Short Survey

spatial attention","Alzheimer's disease (AD) is one of the most common neurodegenerative diseases characterized by cognitive deficits and dementia. AD entails predominant pathological characteristics including amyloid beta (Abeta) plaque formation, neurofibrillary entanglements, and brain atrophy, which gradually result in cognitive dysfunctions. Studies showed that these pathological changes are found in a myriad of brain structures, including the claustrum (CLA), a nucleus that penetrates deeply into the brain and is extensively interconnected to various brain structures. The CLA modulates many aspects of cognitive functions, with attention, executive function, visuospatial ability, language, and memory in particular. It is also implicated in multiple neuropsychiatric disorders, of which one worthy of particular attention is AD-related cognitive impairments. To inspire novel AD treatment strategies, this review has summarized the CLA functionality in discriminative cognitive dysfunctions in AD. And then propose an array of potential mechanisms that might contribute to the cognitive impairments caused by an abnormal CLA physiology. We advocate that the CLA might be a new promising therapeutic target in combination with existing anti-AD drugs and brain stimulation approaches for future AD treatment.Copyright © 2023 Chen, Yang, Tu, Weng, Hu and Geng.",Frontiers in Aging Neuroscience,2023,amyloid beta protein
The effects of noninvasive brain stimulation on cognitive function in patients with mild cognitive impairment and Alzheimer's disease using resting-state functional magnetic resonance imaging: A systematic review and meta-analysis.,"Wang T.

Yan S.

Lu J.","Alzheimer's disease

fMRI

mild cognitive impairment

noninvasive brain stimulation","adult

*Alzheimer disease

article

*brain depth stimulation

brain function

Cochrane Library

*cognition

comparative effectiveness

controlled study

cuneus

data analysis

Embase

female

*functional magnetic resonance imaging

human

male

Medline

middle frontal gyrus

*mild cognitive impairment

nerve cell network

neuroimaging

photosystem I

precuneus

randomized controlled trial (topic)

software

supplementary motor area

systematic review

Web of Science

endogenous compound","adult [m]

*Alzheimer disease [m]

article [m]

*brain depth stimulation [m]

brain function [m]

Cochrane Library [m]

*cognition [m]

comparative effectiveness [m]

controlled study [m]

cuneus [m]

data analysis [m]

Embase [m]

female [m]

*functional magnetic resonance imaging [m]

human [m]

male [m]

Medline [m]

middle frontal gyrus [m]

*mild cognitive impairment [m]

nerve cell network [m]

neuroimaging [m]

photosystem I [m]

precuneus [m]

randomized controlled trial (topic) [m]

software [m]

supplementary motor area [m]

systematic review [m]

Web of Science [m]","Objective: The aim of this systematic review and meta-analysis was to evaluate the efficacy of noninvasive brain stimulation (NIBS) on cognition using functional magnetic resonance imaging (fMRI) in patients with mild cognitive impairment (MCI) and Alzheimer's disease (AD), thus providing the neuroimaging mechanism of cognitive intervention. Method(s): English articles published up to April 30, 2023 were searched in the PubMed, Web of Science, Embase, and Cochrane Library databases. We included randomized controlled trials where resting-state fMRI was used to observe the effect of NIBS in patients with MCI or AD. RevMan software was used to analyze the continuous variables, and SDM-PSI software was used to perform an fMRI data analysis. Result(s): A total of 17 studies comprising 258 patients in the treatment group and 256 in the control group were included. After NIBS, MCI patients in the treatment group showed hyperactivation in the right precuneus and decreased activity in the left cuneus and right supplementary motor area. In contrast, patients in the control group showed decreased activity in the right middle frontal gyrus and no hyperactivation. The clinical cognitive scores in MCI patients were significantly improved by NIBS, while not in AD. Some evidence regarding the modulation of NIBS in resting-state brain activity and functional brain networks in patients with AD was found. Conclusion(s): NIBS could improve cognitive function in patients with MCI and AD. fMRI evaluations could be added to evaluate the contribution of specific NIBS treatment therapeutic effectiveness.Copyright © 2023 The Authors. CNS Neuroscience & Therapeutics published by John Wiley & Sons Ltd.",CNS Neuroscience and Therapeutics,2023,endogenous compound [m]
