Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Effectiveness of Deep Brain Stimulation in Treatment of Anorexia Nervosa and Obesity: A Systematic Review,Hsu T.I.; Nguyen A.; Gupta N.; Godbole N.; Perisetla N.; Hatter M.J.; Beyer R.S.; Bui N.E.; Jagan J.; Yang C.; Gendreau J.; Brown N.J.; Oh M. ,"Objective: Anorexia nervosa and obesity are common appetite disorders, which may be life threatening if not treated and often coincide with psychiatric disorders. We sought to investigate whether deep brain stimulation (DBS) of specific regions within the brain could aid in the treatment of these disorders. This review aims to organize the literature regarding the feasibility of DBS via clinical outcomes and synthesize the data on patient demographics and electrode parameters for future optimization. Method(s): PubMed, Scopus, and Web of Science databases were all queried on 7 June 2022 to identify studies reporting the effect of DBS in treatment of either anorexia nervosa or obesity. We included studies involving 1) DBS, 2) treatment of anorexia nervosa or obesity, and 3) body mass index (BMI) as the primary outcome variable. Case reports, retrospective cohort studies, and randomized controlled trials were all eligible for inclusion. Exclusion of articles was based on the following criteria: 1) meta-analyses or systematic reviews or 2) describes diseases other than only anorexia or obesity. Screening of the 999 articles returned by an initial search yielded 23 studies for inclusion and further data extraction. Qualitative assessment of included studies was subsequently conducted in accordance with Newcastle-Ottawa Scale criteria. Result(s): We included 23 articles (17 anorexia, 5 obesity) that met our inclusion and exclusion criteria, which included 8 case reports, 13 case series, and 1 case-control study. Our primary variables of interest were location of DBS, change in BMI after intervention, electrode parameters, and psychiatric comorbidities. A total of 131 patients were included and analyzed, 118 of those belonging in the anorexia cohort. For patients with anorexia, we found that the most common place for DBS was the subcallosal cingulate followed by the nucleus accumbens, resulting in an overall increase in BMI by 24.82% over the span of a mean 17.1 months. Psychiatric comorbidities (major depressive disorder, obsessive-compulsive disorder, and anxiety) were common in the anorexia cohort. For patients with obesity, DBS was most common in the lateral hypothalamus followed by the nucleus accumbens, resulting in a small decrease in BMI by 3.97% over a mean 17.2 months. Data were insufficient for this cohort to report on additional psychiatric comorbidities or calculate the duration from diagnosis to treatment. Conclusion(s): DBS seems to be a promising solution in addressing treatment-refractory anorexia, but additional prospective studies are still needed to confirm this same usefulness for the treatment of obesity. Primary limitations included the apparent lack of data on DBS for obesity as well as the dearth of cohort studies assessing efficacy of DBS compared with control treatments. Although these limitations could not be addressed in the current review, this study may incentivize future trials to assess DBS in patients with appetite disorders in a more controlled fashion.Copyright © 2022 The Author(s)",2022,/,World Neurosurgery,168,"(Hsu, Hatter, Beyer) University of California, Irvine, School of Medicine, Orange, CA, United States(Nguyen) University of Florida, College of Medicine, Gainesville, FL, United States(Gupta) Campbell University, School of Osteopathic Medicine, Lillington,",179-189,,https://dx.doi.org/10.1016/j.wneu.2022.09.114,2020931756,#9,Hsu 2022,"",anorexia; obesity; review
Deep Brain Stimulation for Morbid Obesity: An Underutilized Neuromodulatory Treatment for Severely Obese Patients?,Stapinska-Syniec A.; Kupryjaniuk A.; Sobstyl M. ,"Background Morbid obesity (MO) has been steadily increasing in the last few years. Pharmacotherapy and bariatric surgeries remain the main treatment modalities for MO, although in the long-term they may lose their effectiveness. Other treatment approaches are urgently needed and deep brain stimulation (DBS) is a promising therapy. Disturbed energy homeostasis caused by intake of highly palatable and caloric foods may induce hedonic eating. The brain nuclei responsible for energy homeostasis and hedonia are the hypothalamic nuclei and nucleus accumbens. These brain structures constitute the stereotactic targets approached with DBS to treat MO. Material and Methods We have performed a literature search of all available clinical applications of DBS for MO in humans. We were able to identify three case series reports and additional six case reports involving 16 patients. The selected stereotactic targets included lateral hypothalamus in eight patients, ventromedial hypothalamus in two patients, and nucleus accumbens in six patients. Results In general, the safety profile of DBS in refractory MO patients was good. Clinical improvement regarding the mean body mass index could be observed in obese patients. Conclusions MO is a demanding condition. Since in some cases standardized treatment is ineffective, new therapies should be implemented. DBS is a promising therapy that might be used in patients suffering from MO, however, more studies incorporating more individuals and with a longer follow-up are needed to obtain more reliable results concerning its effectiveness and safety profile.Copyright © 2022 Georg Thieme Verlag. All rights reserved.",2022,/,"Journal of Neurological Surgery, Part A: Central European Neurosurgery",83,5,471-477,,https://dx.doi.org/10.1055/s-0041-1740616,2019913314,#12,Stapinska-Syniec 2022,"",obesity; review
Efficacy and safety of deep brain stimulation for treatment-refractory anorexia nervosa: a systematic review and meta-analysis,Karaszewska D.; Cleintuar P.; Oudijn M.; Lok A.; van Elburg A.; Denys D.; Mocking R. ,"Background: Several pioneering studies investigated deep brain stimulation (DBS) in treatment-refractory anorexia nervosa (AN) patients, but overall effects remain yet unclear. Aim of this study was to obtain estimates of efficacy of DBS in AN-patients using meta-analysis. Method(s): We searched three electronic databases until 1st of November 2021, using terms related to DBS and AN. We included trials that investigated the clinical effects of DBS in AN-patients. We obtained data including psychiatric comorbidities, medication use, DBS target, and study duration. Primary outcome was Body Mass Index (BMI), secondary outcome was quality of life, and the severity of psychiatric symptoms, including eating disorder, obsessive-compulsive, depressive, and anxiety symptoms. We assessed the risk of bias using the ROBINS-I tool. Result(s): Four studies were included for meta-analysis, with a total of 56 patients with treatment-refractory AN. Follow-up ranged from 6-24 months. Random effects meta-analysis showed a significant increase in BMI following DBS, with a large effect size (Hedges's g = 1 . 13; 95% CI = 0 . 80 to 1 . 46; Z-value = 6 . 75; P < 0 . 001), without heterogeneity (I2= 0 . 00, P = 0 . 901). Random effects meta-analysis also showed a significant increase in quality of life (Hedges's g = 0 . 86; 95% CI = 0 . 44 to 1 . 28; Z-value = 4 . 01, P < 0 . 001). Furthermore, DBS decreased the severity of psychiatric symptoms (Hedges's g = 0 . 89; 95% CI = 0 . 57 to 1 . 21; Z-value = 5 . 47; P < 0 . 001, I2= 4 . 29, P = 0 . 371). Discussion(s): In this first meta-analysis, DBS showed statistically large beneficial effects on weight restoration, quality of life, and reduction of psychiatric symptoms in patients with treatment-refractory AN. These outcomes call for more extensive naturalistic studies to determine the clinical relevance for functional recovery. This study is preregistered in PROSPERO,CRD42022295712.Copyright © 2022, The Author(s).",2022,/,Translational Psychiatry,12,1,333,,https://dx.doi.org/10.1038/s41398-022-02102-w,2018649362,#13,Karaszewska 2022,"",anorexia; review
Effectiveness of Deep Brain Stimulation in Reducing Body Mass Index and Weight: A Systematic Review,Contreras Lopez W.O.; Navarro P.A.; Crispin S. ,"Background: Obesity has become a major public health concern worldwide, with current behavioral, pharmacological, and surgical treatments offering varying rates of success and adverse effects. Neurosurgical approaches to treatment of refractory obesity include deep brain stimulation (DBS) on either specific hypothalamic or reward circuitry nuclei, which might contribute to weight reduction through different mechanisms. We aimed to determine the safety and clinical effect of DBS in medical refractory obesity. Summary: Adhering to PRISMA guidelines, we performed a systematic review to identify all original studies - observational and experimental - in which DBS was performed to treat refractory obesity. From database inception to April 2021, we conducted our search in PubMed, Scopus, and LILACS databases using the following MeSH terms: ""Obesity""OR ""Prader-Willi Syndrome""AND ""Deep Brain Stimulation.""The main outcomes were safety and weight loss measured with the body mass index (BMI). The Grading of Recommendations Assessment, Development, and Evaluation methods were applied to evaluate the quality of evidence. This study protocol was registered with PROSPERO ID: CRD42019132929. Seven studies involving 12 patients met the inclusion criteria; the DBS target was the nucleus accumbens in four (57.1%), the lateral hypothalamic area in two (29.6%), and the ventral hypothalamus in one (14.3%). Further, 33% of participants had obesity secondary to Prader-Willi syndrome (PWS) and 66.6% had primary obesity. The global BMI average at baseline was 46.7 (SD: 9.6, range: 32.2-59.1), and after DBS, 42.8 (SD: 8.8, range: 25-53.9), with a mean difference of 3.9; however, the delta in PWS patients was -2.3 and 10 in those with primary obesity. The incidence of moderate side effects was 33% and included manic symptoms (N = 2), electrode fracture (N = 1), and seizure (N = 1); mild complications (41.6%) included skin infection (N = 2), difficulties falling asleep (N = 1), nausea (N = 1), and anxiety (N = 1). Key Messages: Despite available small case series and case reports reporting a benefit in the treatment of refractory obesity with DBS, this study emphasizes the need for prospective studies with longer follow-ups in order to further address the efficacy and indications.Copyright © 2021 S. Karger AG, Basel.",2022,/,Stereotactic and Functional Neurosurgery,100,2,75-85,,https://dx.doi.org/10.1159/000519158,2014994449,#29,ContrerasLopez 2022,"",obesity; review
Deep brain stimulation in the management of paediatric neuropsychiatric conditions: Current evidence and future directions,Ashkan K.; Mirza A.B.; Tambirajoo K.; Furlanetti L. ,"Introduction: Neurosurgery has provided an alternative option for patients with refractory psychiatric indications. Lesion procedures were the initial techniques used, but deep brain stimulation (DBS) has the advantage of relative reversibility and adjustability. This review sets out to delineate the current evidence for DBS use in psychiatric conditions, with an emphasis on the paediatric population, highlighting pitfalls and opportunities. Method(s): A systematic review of the literature was conducted on studies reporting the use of DBS in the management of psychiatric disorders. The PRISMA guidelines were employed to structure the review of the literature. Data was discussed focusing on the indications for DBS management of psychiatric conditions in the paediatric age group. Result(s): A total of seventy-three full-text papers reported the use of DBS surgery for the management of psychiatric conditions matching the inclusion criteria. The main indications were Tourette Syndrome (GTS) (15 studies), Obsessive Compulsive Disorder (OCD) (20), Treatment Resistant Depression (TRD) (27), Eating Disorders (ED) (7) and Aggressive Behaviour and self-harm (AB) (4). Out of these, only 11 studies included patients in the paediatric age group (<=18 years-old). Among the paediatric patients, the indications for surgery included GTS, AB and ED. Conclusion(s): The application of deep brain stimulation for psychiatric indications has progressed at a steady pace in the adult population and at a much slower pace in the paediatric population. Future studies in children should be done in a trial setting with strict and robust criteria. A move towards personalising DBS therapy with new stimulation paradigms will provide new frontiers and possibilities in this growing field.Copyright © 2020 European Paediatric Neurology Society",2021,/,European Journal of Paediatric Neurology,33,"(Ashkan, Mirza, Tambirajoo, Furlanetti) Department of Neurosurgery, King's College Hospital NHS Foundation Trust, London, UK, United Kingdom(Ashkan, Mirza, Tambirajoo, Furlanetti) King's Health Partners Academic Health Sciences Centre, London, UK, United ",146-158,,https://dx.doi.org/10.1016/j.ejpn.2020.09.004,2008362726,#39,Ashkan 2021,"",anorexia; non_specific; obesity; review
A systematic review on neuromodulation therapies for reducing body weight in patients with obesity,Gouveia F.V.; Silk E.; Davidson B.; Pople C.B.; Abrahao A.; Hamilton J.; Ibrahim G.M.; Muller D.J.; Giacobbe P.; Lipsman N.; Hamani C. ,"The global prevalence of obesity increases yearly along with a rising demand for efficacious, safe, and accessible treatments. Neuromodulation interventions (i.e., deep brain stimulation [DBS], transcranial magnetic stimulation [TMS], transcranial direct current stimulation [tDCS], percutaneous neurostimulation [PENS], vagus nerve stimulation [VNS], and gastric electrical stimulation [GES]) have been proposed as novel therapies. This systematic review sought to examine the safety and efficacy of neuromodulation therapies in reducing body weight in patients with obesity. Using PRISMA guidelines, we performed a systematic review for studies on neuromodulation for the treatment of obesity, resulting in 60 trials included (7 DBS, 5 TMS, 7 tDCS, 17 PENS and VNS, and 24 GES; a total of 3,042 participants). While promising results have been reported in open label studies, double-blinded randomized clinical trials often did not reach their primary endpoints, with no technique inducing a striking reduction in body weight. Bearing in mind the complexity and multifactorial nature of obesity, it is possible that a single treatment may not be enough for patients to lose or maintain the weight lost at long term.Copyright © 2021 World Obesity Federation",2021,/,Obesity Reviews,22,10,e13309,,https://dx.doi.org/10.1111/obr.13309,2013332574,#40,Gouveia 2021,"",non_specific; obesity; review
The utility of deep brain stimulation surgery for treating eating disorders: A systematic review,Potes M.I.; Joaquin C.; Wiecks N.; Phan S.; Hassan O. ,"Background: Deep brain stimulation (DBS) has demonstrated preliminary success as a treatment for neuropsychological disorders including obsessive-compulsive disorder and substance use disorder. This systematic review aims to assess the use of DBS in treating eating disorders (EDs) to determine its utility and the extent of adverse effects. Method(s): A PubMed search following PRISMA guidelines was executed to find studies encompassing DBS as a treatment of ED. Outcomes were extracted from the literature and summarized while a review of quality was also performed. Result(s): From a search yielding 299 publications, 11 studies published between 2010 and 2020 were found to fit the inclusion criteria. Out of 53 patients who began with an abnormal BMI before treatment, 22 patients (41.5%) achieved normal BMI on follow-up. Significant neuropsychological improvement was seen in most patients as measured by neuropsychiatric testing and questionnaires. Conclusion(s): DBS as a treatment for ED may result in significant objective and psychological benefits. Further studies should aim to increase the sample size, standardize follow-up protocol, and standardize the neuropsychiatric tests used to determine psychological and physiological benefits.Copyright © 2021 Published by Scientific Scholar on behalf of Surgical Neurology International",2021,/,Surgical Neurology International,12,"(Potes) Department of Medical Education, School of Medicine, California University of Science and Medicine, Colton, CA, United States(Joaquin) Department of Clinical Education, Lake Erie College of Osteopathic Medicine, Erie, PA, United States(Wiecks, Pha",169,,https://dx.doi.org/10.25259/SNI_730_2020,2011823989,#46,Potes 2021,"",anorexia; obesity; review
Current Therapeutic Approaches to Anorexia Nervosa: State of the Art,Muratore A.F.; Attia E. ,"Anorexia nervosa (AN) is a devastating psychiatric disorder characterized by extreme restriction of food intake and low body weight, both associated with significant medical and psychological morbidity. The clinical severity of AN has prompted the consideration and study of behavioral and pharmacological treatments in efforts to establish empirically based methods to reduce the burden of the disorder. Among adolescents, family-based treatment is considered a first-line behavioral treatment. Research continues to explore the efficacy of family-based treatment and predictors of treatment response to further improve outcomes. Several behavioral treatments for adults also exist, including cognitive-behavioral therapy, exposure and response prevention, third-wave acceptance-based treatments, and supportive psychotherapy, all of which help to improve symptoms and promote modest weight gain. Despite this, no one treatment is considered superior, and all existing behavioral approaches leave a proportion of adults symptomatic or at a high risk of relapse. As such, among adults, there is continued need for development of novel, mechanism-based approaches to better target the core symptoms of AN. Although antidepressants impart little benefit on weight or symptoms, the second-generation antipsychotic olanzapine has shown ability to promote modest weight gain in outpatients with AN. Most recently, the field's evolving conceptualization of AN as a biologically based disorder coupled with technological advancements has led to consideration of varying neuromodulation strategies as a potential therapeutic approach that remains under investigation.Copyright © 2020",2021,/,Clinical Therapeutics,43,1,85-94,,https://dx.doi.org/10.1016/j.clinthera.2020.11.006,2010262306,#49,Muratore 2021,"",anorexia; non_specific; review
Brain stimulation in eating disorders: State of the art and future perspectives,Duriez P.; Khalil R.B.; Chamoun Y.; Maatoug R.; Strumila R.; Seneque M.; Gorwood P.; Courtet P.; Guillaume S. ,"The management of eating disorders (EDs) is still difficult and few treatments are effective. Recently, several studies have described the important contribution of non-invasive brain stimulation (repetitive transcranial magnetic stimulation, transcranial direct current stimulation, and electroconvulsive therapy) and invasive brain stimulation (deep brain stimulation and vagal nerve stimulation) for ED management. This review summarizes the available evidence supporting the use of brain stimulation in ED. All published studies on brain stimulation in ED as well as ongoing trials registered at clinicaltrials.gov were examined. Articles on neuromodulation research and perspective articles were also included. This analysis indicates that brain stimulation in EDs is still in its infancy. Literature data consist mainly of case reports, cases series, open studies, and only a few randomized controlled trials. Consequently, the evidence supporting the use of brain stimulation in EDs remains weak. Finally, this review discusses future directions in this research domain (e.g., sites of modulation, how to enhance neuromodulation efficacy, personalized protocols).Copyright © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",2020,/,Journal of Clinical Medicine,9,8,1-25,,https://dx.doi.org/10.3390/jcm9082358,2004784391,#53,Duriez 2020,"",anorexia; non_specific; review
Deep brain stimulation for the treatment of severe intractable anorexia nervosa,Sobstyl M.; Stapinska-Syniec A.; Sokol-Szawlowska M.; Kupryjaniuk A. ,"Anorexia nervosa (AN) is a challenging multifactorial disorder with the highest mortality rate among all psychiatric disorders. Due to the low rate of long-term treatment success, new treatment options are needed. Here, we review Deep Brain Stimulation (DBS) as a treatment of Severe Intractable AN. The mechanisms of AN have shown significant involvement of the central nervous system especially the same brain regions which are involved with obsessive-compulsive disorder (OCD) and major depressive disorder (MDD). AN and OCD display many similarities in psychiatric practice such as compulsive behaviours and anxiety levels, which are related to networks in the brain, that can be altered using DBS. Our literature search revealed 8 studies totalling 28 individuals with AN and comorbid OCD or MDD. The most common stereotactic targets included the sub-callosal cingulate cortex (Brodmann area 25)/medial forebrain bundle (MFB) for AN and comorbid MDD and nucleus accumbens (NAc)/ventral striatum for AN and comorbid OCD. In most cases bilateral DBS of various structures of the reward system achieved good results in BMI, and core AN symptoms and psychiatric comorbidities showed sustained improvement. DBS is a promising treatment modality for AN and comorbid OCD or MDD. These results highlight promise and hope for patients with AN. However, further studies with larger patient populations are needed to shed light on the long-term outcomes of DBS and its effects in AN treatment.Copyright © 2019, © 2019 The Neurosurgical Foundation.",2019,/,British Journal of Neurosurgery,33,6,601-607,,https://dx.doi.org/10.1080/02688697.2019.1667484,2003422760,#71,Sobstyl 2019,"",anorexia; review
